T/K,P/MPA,water/wt%,g/cm3,,,,,,,,,,,,,,,
278.15,0.101325,0,1.3854,,,,,,,,,,,,,,,
283.15,0.101325,0,1.3811,,,,,,,,,,,,,,,
288.15,0.101325,0,1.3767,,,,,,,,,,,,,,,
293.15,0.101325,0,1.3723,,,,,,,,,,,,,,,
298.15,0.101325,0,1.368,,,,,,,,,,,,,,,
303.15,0.101325,0,1.3638,,,,,,,,,,,,,,,
308.15,0.101325,0,1.3597,,,,,,,,,,,,,,,
313.15,0.101325,0,1.3556,,,,,,,,,,,,,,,
318.15,0.101325,0,1.3516,,,,,,,,,,,,,,,
323.15,0.101325,0,1.3475,,,,,,,,,,,,,,,
328.15,0.101325,0,1.3435,,,,,,,,,,,,,,,
333.15,0.101325,0,1.3394,,,,,,,,,,,,,,,
338.15,0.101325,0,1.3354,,,,,,,,,,,,,,,
343.15,0.101325,0,1.3313,,,,,,,,,,,,,,,
348.15,0.101325,0,1.3273,,,,,,,,,,,,,,,
353.15,0.101325,0,1.3232,,,,,,,,,,,,,,,
358.15,0.101325,0,1.3191,,,,,,,,,,,,,,,
363.15,0.101325,0,1.3149,,,,,,,,,,,,,,,
368.15,0.101325,0,1.3108,,,,,,,,,,,,,,,
373.15,0.101325,0,1.307,,,,,,,,,,,,,,,
283.15,0.101325,0,1.37914,,,,,,,,,,,,,,,
284.15,0.101325,0,1.37828,,,,,,,,,,,,,,,
285.15,0.101325,0,1.37740,,,,,,,,,,,,,,,
286.15,0.101325,0,1.37656,,,,,,,,,,,,,,,
287.15,0.101325,0,1.37569,,,,,,,,,,,,,,,
288.15,0.101325,0,1.37483,,,,,,,,,,,,,,,
289.15,0.101325,0,1.37393,,,,,,,,,,,,,,,
290.15,0.101325,0,1.37301,,,,,,,,,,,,,,,
291.15,0.101325,0,1.37219,,,,,,,,,,,,,,,
292.15,0.101325,0,1.37127,,,,,,,,,,,,,,,
293.15,0.101325,0,1.37043,,,,,,,,,,,,,,,
294.15,0.101325,0,1.36956,,,,,,,,,,,,,,,
295.15,0.101325,0,1.36865,,,,,,,,,,,,,,,
296.15,0.101325,0,1.36782,,,,,,,,,,,,,,,
297.15,0.101325,0,1.36699,,,,,,,,,,,,,,,
298.15,0.101325,0,1.36612,,,,,,,,,,,,,,,
299.15,0.101325,0,1.36524,,,,,,,,,,,,,,,
300.15,0.101325,0,1.36438,,,,,,,,,,,,,,,
301.15,0.101325,0,1.36354,,,,,,,,,,,,,,,
302.15,0.101325,0,1.36263,,,,,,,,,,,,,,,
303.15,0.101325,0,1.36176,,,,,,,,,,,,,,,
304.15,0.101325,0,1.36092,,,,,,,,,,,,,,,
305.15,0.101325,0,1.36007,,,,,,,,,,,,,,,
306.15,0.101325,0,1.35924,,,,,,,,,,,,,,,
307.15,0.101325,0,1.35842,,,,,,,,,,,,,,,
308.15,0.101325,0,1.35752,,,,,,,,,,,,,,,
309.15,0.101325,0,1.35671,,,,,,,,,,,,,,,
310.15,0.101325,0,1.35588,,,,,,,,,,,,,,,
311.15,0.101325,0,1.35505,,,,,,,,,,,,,,,
312.15,0.101325,0,1.35420,,,,,,,,,,,,,,,
313.15,0.101325,0,1.35335,,,,,,,,,,,,,,,
314.15,0.101325,0,1.35251,,,,,,,,,,,,,,,
315.15,0.101325,0,1.35169,,,,,,,,,,,,,,,
316.15,0.101325,0,1.35086,,,,,,,,,,,,,,,
317.15,0.101325,0,1.34996,,,,,,,,,,,,,,,
318.15,0.101325,0,1.34916,,,,,,,,,,,,,,,
319.15,0.101325,0,1.34831,,,,,,,,,,,,,,,
320.15,0.101325,0,1.34752,,,,,,,,,,,,,,,
321.15,0.101325,0,1.34668,,,,,,,,,,,,,,,
322.15,0.101325,0,1.34583,,,,,,,,,,,,,,,
323.15,0.101325,0,1.34502,,,,,,,,,,,,,,,
298.15,0.101325,0,1.3676,,,,,,,,,,,,,,,
283.15,0.101325,0,1.3799,,,,,,,,,,,,,,,
288.15,0.101325,0,1.3765,,,,,,,,,,,,,,,
293.15,0.101325,0,1.372,,,,,,,,,,,,,,,
298.15,0.101325,0,1.3676,,,,,,,,,,,,,,,
303.15,0.101325,0,1.3634,,,,,,,,,,,,,,,
308.15,0.101325,0,1.3592,,,,,,,,,,,,,,,
313.15,0.101325,0,1.3551,,,,,,,,,,,,,,,
318.15,0.101325,0,1.351,,,,,,,,,,,,,,,
323.15,0.101325,0,1.347,,,,,,,,,,,,,,,
328.15,0.101325,0,1.3429,,,,,,,,,,,,,,,
333.15,0.101325,0,1.3389,,,,,,,,,,,,,,,
338.15,0.101325,0,1.3349,,,,,,,,,,,,,,,
343.15,0.101325,0,1.3309,,,,,,,,,,,,,,,
348.15,0.101325,0,1.3269,,,,,,,,,,,,,,,
353.15,0.101325,0,1.323,,,,,,,,,,,,,,,
358.15,0.101325,0,1.319,,,,,,,,,,,,,,,
363.15,0.101325,0,1.3152,,,,,,,,,,,,,,,
292.87,0.101325,0.019,1.3705,,,,,,,,,,,,,,,
302.73,0.101325,0.019,1.362,,,,,,,,,,,,,,,
312.69,0.101325,0.019,1.3535,,,,,,,,,,,,,,,
322.69,0.101325,0.019,1.3451,,,,,,,,,,,,,,,
332.65,0.101325,0.019,1.337,,,,,,,,,,,,,,,
342.58,0.101325,0.019,1.3287,,,,,,,,,,,,,,,
352.31,0.101325,0.019,1.3209,,,,,,,,,,,,,,,
373.34,0.101325,0.019,1.3043,,,,,,,,,,,,,,,
391.27,0.101325,0.019,1.2902,,,,,,,,,,,,,,,
292.88,0.101325,2.68,1.3539,,,,,,,,,,,,,,,
302.63,0.101325,2.68,1.3451,,,,,,,,,,,,,,,
312.53,0.101325,2.68,1.3358,,,,,,,,,,,,,,,
322.49,0.101325,2.68,1.3278,,,,,,,,,,,,,,,
332.44,0.101325,2.68,1.3194,,,,,,,,,,,,,,,
342.32,0.101325,2.68,1.3114,,,,,,,,,,,,,,,
289.1,0.101325,0,1.3726,,,,,,,,,,,,,,,
291.1,0.101325,0,1.3708,,,,,,,,,,,,,,,
